Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
67	Learner Tien (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LearnerTien) [USA]	28 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LearnerTien&f=)	13-15	46.4%	60.3%	61.2%	101	4.1%	98	4.0%	10.9%	63.4%	66.4%	49.9%	56.0%	73.0%	6.6	2.6
68	Mattia Bellucci (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MattiaBellucci) [ITA]	26 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MattiaBellucci&f=)	12-14	46.2%	64.7%	63.1%	208	10.5%	72	3.6%	9.5%	61.5%	73.1%	51.2%	56.6%	82.1%	6.6	2.3
69	Damir Dzumhur (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DamirDzumhur) [BIH]	26 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DamirDzumhur&f=)	12-14	46.2%	57.3%	58.7%	21	1.2%	55	3.2%	9.3%	65.8%	59.8%	52.5%	57.9%	68.8%	6.8	2.9
70	Bu Yunchaokete (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BuYunchaokete) [CHN]	35 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BuYunchaokete&f=)	14-21	40.0%	64.1%	61.9%	225	8.8%	51	2.0%	4.8%	58.0%	73.0%	51.7%	54.3%	79.9%	6.4	2.3
71	Juncheng Shang (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JunchengShang) [CHN]	35 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JunchengShang&f=)	20-15	57.1%	65.7%	65.3%	191	7.2%	86	3.2%	8.5%	62.1%	73.3%	53.2%	58.1%	83.3%	6.4	2.2
72	Roman Safiullin (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RomanSafiullin) [RUS]	37 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RomanSafiullin&f=)	15-22	40.5%	64.6%	63.6%	265	8.6%	106	3.4%	9.4%	63.5%	72.7%	50.4%	55.6%	79.2%	6.3	2.2
73	Corentin Moutet (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CorentinMoutet) [FRA]	30 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CorentinMoutet&f=)	12-18	40.0%	59.5%	60.0%	74	3.0%	70	2.9%	8.1%	64.5%	64.7%	50.1%	54.4%	71.9%	6.7	2.7
74	Hamad Medjedovic (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HamadMedjedovic) [SRB]	24 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HamadMedjedovic&f=)	13-11	54.2%	67.6%	66.3%	186	10.4%	59	3.3%	10.1%	67.4%	74.9%	52.5%	58.4%	85.7%	6.2	2.0
75	Arthur Rinderknech (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurRinderknech) [FRA]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ArthurRinderknech&f=)	19-27	41.3%	65.2%	62.4%	479	13.5%	126	3.5%	9.6%	63.2%	75.4%	47.7%	52.8%	81.5%	6.4	2.2
76	Aleksandar Kovacevic (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AleksandarKovacevic) [USA]	29 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AleksandarKovacevic&f=)	11-18	37.9%	65.2%	63.6%	260	11.4%	91	4.0%	9.6%	58.4%	75.6%	50.5%	55.9%	83.2%	6.4	2.2
77	Yoshihito Nishioka (http://www.tennisabstract.com/cgi-bin/player.cgi?p=YoshihitoNishioka) [JPN]	34 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=YoshihitoNishioka&f=)	20-14	58.8%	64.8%	64.6%	93	4.0%	44	1.9%	5.2%	63.4%	69.3%	57.0%	60.2%	81.0%	6.3	2.2
78	Rinky Hijikata (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RinkyHijikata) [AUS]	35 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RinkyHijikata&f=)	13-22	37.1%	58.3%	58.4%	123	4.6%	93	3.5%	8.9%	60.4%	66.1%	46.4%	50.9%	68.7%	6.5	2.7
79	Zhizhen Zhang (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ZhizhenZhang) [CHN]	38 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ZhizhenZhang&f=)	15-23	39.5%	66.5%	64.0%	309	11.2%	66	2.4%	6.9%	65.4%	73.9%	52.5%	56.4%	83.7%	6.2	2.1
80	Aleksandar Vukic (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AleksandarVukic) [AUS]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AleksandarVukic&f=)	21-22	48.8%	65.3%	62.3%	451	12.4%	94	2.6%	6.6%	60.7%	75.1%	50.3%	53.9%	83.1%	6.5	2.2
81	Cameron Norrie (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CameronNorrie) [GBR]	39 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CameronNorrie&f=)	20-19	51.3%	64.0%	63.2%	202	6.4%	81	2.6%	7.8%	67.0%	70.3%	51.0%	55.3%	80.3%	6.5	2.4
82	Christopher Oconnell (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ChristopherOconnell) [AUS]	37 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ChristopherOconnell&f=)	15-22	40.5%	63.2%	61.4%	238	8.5%	70	2.5%	6.2%	59.8%	70.9%	51.7%	55.1%	79.7%	6.5	2.4
83	Hugo Gaston (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoGaston) [FRA]	32 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HugoGaston&f=)	13-19	40.6%	59.3%	59.4%	98	3.9%	69	2.7%	6.1%	54.9%	67.0%	50.0%	53.3%	71.4%	6.6	2.7
84	Raphael Collignon (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RaphaelCollignon) [BEL]	7 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RaphaelCollignon&f=)	1-6	14.3%	61.2%	64.7%	32	6.7%	43	9.0%	26.4%	65.8%	70.1%	44.2%	60.0%	76.4%	6.6	2.6
85	Borna Coric (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BornaCoric) [CRO]	18 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BornaCoric&f=)	6-12	33.3%	63.5%	62.1%	138	9.7%	53	3.7%	9.2%	59.6%	72.2%	50.5%	55.6%	77.5%	6.4	2.3
86	Vit Kopriva (http://www.tennisabstract.com/cgi-bin/player.cgi?p=VitKopriva) [CZE]	10 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=VitKopriva&f=)	4-6	40.0%	56.7%	58.1%	23	3.0%	35	4.6%	11.7%	60.8%	62.8%	47.3%	53.6%	67.0%	7.0	3.0
87	Jan Lennard Struff (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JanLennardStruff) [GER]	38 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JanLennardStruff&f=)	17-21	44.7%	65.3%	64.5%	378	11.6%	167	5.1%	12.4%	58.6%	76.0%	50.2%	57.3%	81.7%	6.5	2.2
88	Jesper De Jong (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JesperDeJong) [NED]	12 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JesperDeJong&f=)	6-6	50.0%	64.1%	62.9%	61	8.6%	22	3.1%	7.3%	57.5%	74.3%	50.3%	54.3%	80.2%	6.4	2.3
89	Botic Van De Zandschulp (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BoticVanDeZandschulp) [NED]	34 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BoticVanDeZandschulp&f=)	13-21	38.2%	61.4%	62.7%	161	5.9%	155	5.7%	15.0%	62.0%	71.5%	44.9%	52.8%	75.8%	6.6	2.5
90	Hugo Dellien (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoDellien) [BOL]	7 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HugoDellien&f=)	3-4	42.9%	61.5%	61.0%	17	3.0%	7	1.3%	4.2%	70.3%	64.5%	54.2%	56.6%	75.3%	6.6	2.5
91	Adam Walton (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AdamWalton) [AUS]	22 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AdamWalton&f=)	7-15	31.8%	64.5%	63.0%	143	8.4%	45	2.7%	7.6%	64.9%	71.9%	50.7%	54.8%	80.6%	6.2	2.2
92	James Duckworth (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JamesDuckworth) [AUS]	20 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JamesDuckworth&f=)	5-15	25.0%	63.0%	62.4%	118	7.2%	55	3.4%	8.1%	58.7%	71.3%	51.3%	55.9%	80.5%	6.5	2.4
93	Reilly Opelka (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ReillyOpelka) [USA]	35 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ReillyOpelka&f=)	18-17	51.4%	69.1%	64.5%	598	20.9%	124	4.3%	12.2%	64.3%	79.0%	51.2%	58.3%	88.7%	6.3	2.0
94	Chun Hsin Tseng (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ChunHsinTseng) [TPE]	14 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ChunHsinTseng&f=)	4-10	28.6%	61.1%	60.5%	37	4.7%	17	2.2%	5.2%	57.9%	67.0%	52.9%	55.8%	74.8%	6.6	2.6
95	Luca Nardi (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LucaNardi) [ITA]	21 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LucaNardi&f=)	6-15	28.6%	56.7%	58.4%	57	3.4%	91	5.5%	13.2%	58.6%	66.5%	42.8%	49.3%	66.8%	7.0	3.0
96	Kamil Majchrzak (http://www.tennisabstract.com/cgi-bin/player.cgi?p=KamilMajchrzak) [POL]	8 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=KamilMajchrzak&f=)	4-4	50.0%	67.2%	66.5%	27	6.2%	9	2.1%	5.9%	64.7%	74.6%	53.6%	56.9%	82.2%	5.9	1.9
97	Mariano Navone (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MarianoNavone) [ARG]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MarianoNavone&f=)	16-30	34.8%	59.8%	60.1%	124	3.6%	101	2.9%	7.9%	63.4%	65.1%	50.7%	55.0%	72.2%	6.6	2.7
98	Mackenzie Mcdonald (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MackenzieMcdonald) [USA]	20 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MackenzieMcdonald&f=)	9-11	45.0%	61.3%	60.9%	88	5.4%	47	2.9%	8.3%	65.3%	66.0%	52.3%	57.1%	74.6%	6.4	2.5
99	Pablo Carreno Busta (http://www.tennisabstract.com/cgi-bin/player.cgi?p=PabloCarrenoBusta) [ESP]	26 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=PabloCarrenoBusta&f=)	11-15	42.3%	64.4%	64.7%	93	4.8%	58	3.0%	8.4%	64.4%	70.6%	53.2%	58.1%	79.9%	6.3	2.2
100	Nishesh Basavareddy (http://www.tennisabstract.com/cgi-bin/player.cgi?p=NisheshBasavareddy) [USA]	12 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=NisheshBasavareddy&f=)	4-8	33.3%	62.3%	62.0%	55	6.0%	30	3.3%	8.4%	61.2%	71.5%	47.8%	52.1%	77.2%	6.3	2.4
	Average			44.1%	63.4%	62.5%		8.1%		3.4%	9.0%	62.4%	71.4%	50.1%	55.0%	78.9%	6.5	2.4
